content,label
"Twenty years ago, the five years old boy Michael Hawthorne witnessed his father killing his mother with an axe in an empty road and committing suicide later. On the present days, Michael (Gordon Currie) invites his girlfriend Peg (Stacy Grant) and his best friends Chris (Myc Agnew), Jennifer (Emmanuelle Vaugier), Lisa Ann (Kelly Benson), Ned (Brendon Beiser), Mitch Maldive (Phillip Rhys) and Trish (Rachel Hayward) to spend the Halloween in the country with his grandparents in their farm. He asks his friends to wear costumes that would represent their greatest innermost fear, and together with his Indian friend Crow (Byron Chief Moon), they would perform an ancient Indian celebration using the carved wooden dummy Morty (Jon Fedele) that would eliminate their fears forever. The greatest fear of Michael is to become a serial killer like his father, but something goes wrong and Morty turns into his father, killing his friends.<br /><br />""The Fear: Resurrection"" is a disappointing and pointless slash movie that uses the interesting concept of eliminating the greatest innermost fear of each friend before it grows, but in a messy screenplay full of clichés. There are some exaggerated performances, like for example Ms. Betsy Palmer; others very weak, but in general the acting is good. Unfortunately there is no explanation why the dummy is brought to live; further, in spite of being surrounded by close friends, the group does not feel pain or sorrow when each one of them dies. The low-pace along more than fifty minutes could have been used to built a better dramatic situation. In the very end, Michael shows a charm that his father was interested that I have not noticed along the story. I do not know whether the previous reference was edited in the DVD released in Brazil with 87 minutes running time. The special effects are very reasonable for a B-movie. My vote is four.<br /><br />Title (Brazil): ""Fear 2: Uma Noite de Halloween"" (""Fear 2: One Night of Halloween"")",1
"Nightmare Weekend is proof positive that some people are so desperate to be 'in the movies' they are prepared to do almost anything.<br /><br />I'm not referring to the countless women who seem quite happy to appear completely starkers in this dreadful piece of trash (after all, the naked female form is a beautiful thing and nothing to be ashamed of). No...I'm talking about those who are more than willing to co-star with a badly made hand-puppet called George. Now that is embarrassing!!!<br /><br />A bio-electronic being created by brilliant scientist Edward Brake (Wellington Meffert), George (who looks like a demented felt clown with green wool for hair) is the artificially intelligent interface for an advanced computer system that operates a revolutionary device (a silver sphere about the size of a golf ball) that, when ingested, can reverse character disorders.<br /><br />Edward's personality altering experiments have been successful on lab animals, but the cautious scientist is reluctant to carry out tests on human subjects, fearing that there may still be side effects. His evil assistant Julie (Debbie Laster), however, has no such qualms, and proceeds to use three beautiful young women as guinea pigs. Inevitably, they all turn into hideous killer mutants.<br /><br />With bargain basement special effects, a cast totally devoid of talent, and a plot that is almost impossible to follow (I took notes as I watched the film, and even then I am not entirely convinced that my synopsis is accurate), Nightmare Weekend is a complete and utter disaster that not even several soft-core sex scenes and a touch of gore can rescue.<br /><br />This film also features one of the most irritating characters I have ever seen in a horror movie: Tony (Bruce Morton), a Walkman wearing idiot who bops away to crap 80s music in a manner that makes me look like Justin Timberlake in comparison.",1
"<br /><br />I am a big-time horror/sci-fi fan regardless of budget, but after watching countless horror movies late night on cable and video, this has to be the worst of all movies. With bloody special effects (what looked like a roast covered in fake blood or ketchup that kept being shown over and over again) and people running around screaming from left, then to right, then back again. It should have stayed with the beginning convenience store scene and stopped there and been 15 minutes. Instead, it is dragged out very long. It is very, very x5 low budget. Many scenes were way, way too long. Narrator sounded very amateurish like a random person out of junior high was talking. This is the only movie to rate lower in my opinion than Manos, Red Zone Cuba, Benji,and Godzilla vs. megalon despite their higher budgets. 10 snoozes, try to stay awake through whole movie in one setting or better yet, avoid it like you would an undead brain-eating mob. The Why-Did-I-Ever-See-This-Piece-Of-Zombie-Dung-Blues. Epitome of nauseatingly bad made movies etc..ad infinitum. -infinity/10",1
"I can appreciate what Barney is trying to achieve, but after sitting through this last night at a college movie house, I couldn't help but think...when is this gonna end? A very long and ponderous two hours and fifteen minutes. I had only seen a part of Cremaster 3 on DVD and thought I knew what to expect. That said, experimental films such as this are better digested in small increments. There are a couple of beautiful/horrible images...including the title sequence (no kidding), but if you go into this expecting any kind of plot or meaning, then you are in for a long, snooze-inducing ride. I managed to stay awake for the whole thing (if that's a compliment) but more often than not, I was waiting for some kind of meaning or narrative...big mistake. Among the collection of images are a very ornate gift-wrapping ceremony, the creation of a disgusting dish of what appears to be petroleum jelly slabs formed with a cookie cutter and sprinkled with shrimp (this is served to the crew of the ship which is shown throughout the film), a large blubber cheesecake with a large tentacle turd placed in the center of it, and the mutual evisceration of Bjork and director Matthew Barney which eventually culminates in some bizarre kind of communion, followed by their transformation into whale-like creatures. The soundtrack is at times beautiful and annoying...sometimes even maddening. At one time, there is a song being sung by Bjork to go along with the ephemeral rituals being played before us, and at other times there is just a constant droning of a high-pitched instrument, which we see a mysterious woman playing at the beginning and end of the movie. If this sounds like it doesn't make sense, that is because is DOESN'T! If this sounds like your cup of tea, then you will absolutely LOVE it! If this sounds like something that you probably won't like, then stay far away from it, because you will most likely walk out of the theater during the halfway mark like several people at the screening I attended. This is the very definition of an art film. You get from it what you take from it. But otherwise, there really isn't much there, other than a few oddities and constant construction and deconstruction rituals. I'm glad that there is a place for films such as this, but I can't say I would want to sit through it again. However, I can't say I wouldn't want to see one of Barney Cremaster films from start to finish and compare it with this. I think, perhaps now that I know what to expect I might enjoy something like this more. To give you an idea of what kind of comprehension factor this film has, I probably would've liked it better if I had gotten stoned. Then again, it could've felt twice as long as it was, and then it would've REALLY gotten ponderous. Definitely not for everyone.",1
"I saw the omen when i was 11 on tv. I enjoyed the Trilogy. So when the chance to finally see one at the cinema came around i didnt pass it up. I went in to the cinema knowing that what i was about to see wasnt a cinema release but a made for TV film. However being a fan i couldnt resist. But this Omen movie which i saw at a midnight screening didnt bring chills it brought laughter. Risible Dialogue such as ""it is written that if a baby cries during baptism they reject there god"". What nonsense.No decent set pieces. Faye Grant so Good in V is wasted with this script from hell. No suprises and no fun. However i did laugh out loud several times at our bad it was.Truly Pathetic.1 out of 10",1
"This was not enjoyable to watch. Frank puts all his dreams on the back burner and gets a normal (boring!) job just so his stepson can go to film school, but his stepson decides that he'll make a humiliating documentary about the man instead. A documentary filmmaker should point the camera and simply shoot, not manipulate and comment with snide captions. The bitterness and resentment of the filmmaker towards his stepfather is obvious. And sad. The goal seems to be to make Frank appear dumb and pathetic, instead he comes across as the most human of the 3 people featured.<br /><br />Essentially a smear campaign all dressed up as something much smarter and edgier than it really is. It left me with an intense dislike for the filmmaker.",1
"Most movies I can sit through easily, even if I do not particularly like the movie. I am the type of person who recognizes great films even if I do not like the genre. This is the first movie I could not stand to watch. Cat in the Hat is the worst movie I have ever seen--and I've seen a lot of movies. The acting is okay (Myers is good as the cat, it's just that he is REALLY annoying). The silly songs the cat sings were boring and monotonous, even for the children in the audience. The plot drags on and on, and viewers must suffer through poor dialogue. The ""witty"" parental remarks are disgusting, not funny (I remember some awful comment about a garden hoe being compared to, well, a type of person people call a ""ho""). Even though the movie is really short, it seemed to last FOREVER. Do not waste your time. I know small kids who hated this movie. If children can't stand it, I do not know how any adults can. I would like to fume more about this film but I do not even feel like wasting anymore time writing this review about it. I HATED IT! So, in summary, do not spend 90 minutes of your life watching this! See a GOOD movie!<br /><br />1/10 stars--the lowest review I have ever given a movie.",1
"I remember watching this on prime time when I was about 7 years old. I was a huge comic book reader at the time, and anything relating to superheroes was anticipated heavily. The end result, however, was underwhelming.<br /><br />I was aware of the ""Emma Peel"" Diana Prince stories, as they had only recently come to an end and Diana was returned to her Amazonian form. However, there was so little action that I was bored throughout most of the movie. The final costume was an interesting idea, but looked more like a cheerleader than a superhero.<br /><br />I saw the movie again in my late teen years. It hadn't improved much. Cathy Lee Crosby was more familiar, thanks to That's Incredible, but her acting was no better. The script had a few good ideas, like the rogue Amazon, and a decent villain in Ricardo Montalban, but it just didn't come together and was still boring.<br /><br />I think they should have built the back story better, and built the show into a more epic climax. It was too much like a bland spy film, crossed with a superhero story written by someone who had never seen a comic book. The Amazon elements were intriguing, but needed to be expanded.<br /><br />The film did succeed in forcing producers to go back to the drawing board and come up with something more faithful, if a bit too camp and low budget. The budget was also pretty low here, and superheroes don't come cheap.<br /><br />It would be nice to have the movie available on DVD, if only as a comparison and historical document. Even Superman 4 is available, and it has nothing over this film (except Chris Reeve and Gene Hackman). It's worth seeing for curiosity sake and for a bit of inspiration and caution for future versions.",1
"The tragedy is that this piece of rubbish was part of my curriculum while I was studying cinema. So imagine how I was forced to watch it in complete. Believe me going through hell is much much easier. Our professor told us that this is some film ???, but he never thought that we'd disagree or assume the apposite. I don't think that there is any gods on earth, we're only humans, so all the filmmakers, therefore they CAN make mistakes, bad movies.. Or very bad too. The main problem wasn't that art, by all means, is susceptible to endless points of view, but that a lot of people just don't get it, that every single human got his own genuine taste, his own opinion, hence what I suppose it the greatest movie ever made, can also be your worst one ever, and how that is right both ways, but how many people can understand this correctly?. So my professor believes in this movie, and simply I don't. However, the only way to evaluate this ""thing"" is by measuring it by its original intent to show us different kinds of old folk stories or whatever to catch on this society's mentality, imagination, and nature. To tell you the damn truth Mr. Pier Paolo Pasolini as the scriptwriter and the director made it too unbearable to watch in the first place. The movie is so UGLY. I can't stand this, so how about analyzing it, then discovering the potential beauty in it !! It's beyond your mind hideousness, and strangely not for the sake of the movie's case or anything, it's for the sake of the unstable vision of (Pasolini). His work is so primitive to underdeveloped extent. The deadly cinematic technique, the effective sense of silliness, and the incredible horribleness made everything obnoxious. Look at the atrocious acting, the unfruitful cinematography, the awfully poor sets, .. OH MY GOD I've got the nausea already. It can terminate your objectivity violently as watching this movie is one true pain like taking the wisdom tooth off by a blind doctor. There are dreadful nightmares which could be more merciful than this. So originally, how to continue THAT just to review it fairly ? Actually, you don't. As this very movie doesn't treat you fair at all. There is really memorable scene in here where some boys are peeing into the eye of the camera (!) I'm trying to connect some things like that with Pasolini's end as murdered.",1
"Watching TRUTH ABOUT LOVE (is this a double entendre about the star?) is like plugging in white noise or manufactured water sounds to help you sleep - you put it in the DVD slot because there is nothing else left on the store shelves and you are in need of distraction after a hectic day. And it works for that for that purpose: being a British romantic comedy it is a bit more.<br /><br />The story is a rather simple one about a wife Alice (Jennifer Love Hewitt) married to an increasingly distant husband Sam (Jimi Mistry) who has put their love life on hold due to the burdens of his busy law practice. His partner Archie (Dougray Scott) is fond of both Sam and Alice, but has a longtime attraction to Alice that goes beyond friendship. Alice pals with her sister Felicity (Kate Miles), a free love advocate, who encourages Alice to have affairs. On Valentine's Day, after a drinking binge with her sister, Alice mails a card to Sam signed 'Anonymous' as a test to see if Sam responds, testing his fidelity. At the same time Archie mails a radish seed packet to Alice on which he has inscribed a suggestive love not. Both have ex post facto regrets. Sam in fact is spending time with a lover Katya (Branka Katic) and is indeed cheating on Alice. Alice arranges assignations with Sam via email and phone calls and plans to meet Sam in disguise as 'Anonymous' to test his fidelity. The entire cast of characters gets caught up in the silly charade and the ending proves that real love must be based on truth - and how that results in the various pairings is the surprise (of sorts) of the fluffy script.<br /><br />British comedies work because of the quality of writing and the tight quality of acting. Perhaps had director John Hay elected to cast a British actress as Alice instead of pasting a phony accent on Jennifer Love Hewitt the result may have been improved. But in the end this story by Peter Bloore bounces between mildly humorous and pathetic in its messages. One terrible distraction is a musical score that is consistently so loud that it covers all the dialogue and is intrusive. There are some nice scenes of London and a few moments of passable humor, but in the end this little film is truly best utilized as background music/white noise. Grady Harp",1
